分类器,参数,ROC-AUC,ROC-AUC SD,PR-AUC,PR-AUC SD,F1,F1 SD,精确率,精确率 SD,召回率,召回率 SD
SVM,默认,0.9537,0.0013,0.6197,0.0089,0.4872,0.0036,0.3370,0.0032,0.8792,0.0044
SVM,优化,0.9537,0.0013,0.6197,0.0089,0.4872,0.0036,0.3369,0.0032,0.8792,0.0044
逻辑回归,默认,0.9540,0.0013,0.6139,0.0090,0.4879,0.0032,0.3373,0.0027,0.8817,0.0045
逻辑回归,优化,0.9540,0.0013,0.6141,0.0090,0.4880,0.0032,0.3373,0.0027,0.8817,0.0045
随机森林,默认,0.9898,0.0007,0.8696,0.0063,0.7014,0.0055,0.5503,0.0066,0.9672,0.0035
随机森林,优化,0.9914,0.0006,0.9047,0.0053,0.7023,0.0051,0.5508,0.0062,0.9689,0.0036
MLP,默认,0.9903,0.0008,0.8951,0.0047,0.6929,0.0113,0.5412,0.0145,0.9633,0.0063
MLP,优化,0.9902,0.0007,0.8938,0.0049,0.6954,0.0143,0.5448,0.0182,0.9617,0.0042
XGBoost,默认,0.9924,0.0005,0.9132,0.0050,0.7174,0.0052,0.5694,0.0068,0.9692,0.0036
XGBoost,优化,0.9918,0.0005,0.9075,0.0044,0.7023,0.0060,0.5508,0.0076,0.9689,0.0046
